title,author,subject,year,abstract,tags,availability
Programming Embedded Systems in C and C ++,Michael Barr,Computer Science,1999,Topics: computer science,computer science,unavailable
Neural Networks in C++,Adam Blum,Computer Science,1992,Topics: computer science,computer science,available
Introduction to discrete mathematics,Robert J. McEliece,Computer Science,1988,Topics: computer science,computer science,unavailable
Discrete mathematical structures for computer science,Bernard Kolman,Computer Science,1984,Topics: computer science,computer science,available
Move fast and break things,Jonathan Taplin,Computer Science,2017,Topics: computer science,computer science,unavailable
A Beginner's Guide to Discrete Mathematics,W. D. Wallis; W.D. Wallis,Computer Science,2002,Topics: computer science,computer science,available
Affective Computing,Rosalind W. Picard,Computer Science,1997,Topics: computer science,computer science,unavailable
Practical management science,Wayne L. Winston; S. Christian Albright,Computer Science,2000,Topics: computer science,computer science,unavailable
Natural language understanding,"Allen, James",Computer Science,1987,Topics: computer science,computer science,available
Computational Vision and Medical Image Processing,João Manuel R. S. Tavares,Computer Science,2009,Topics: computer science,computer science,available
Handbook of Discrete and Combinatorial Mathematics,Kenneth H. Rosen,Computer Science,1999,Topics: computer science,computer science,available
Software and Mind,Andrei Sorin,Computer Science,2013,The Mechanistic Myth and Its Consequences,computer science,available
The Mobile Wave,Michael Saylor,Computer Science,2012,Topics: computer science,computer science,available
Computer Systems Architecture,Aharon Yadin,Computer Science,2016,Topics: computer science,computer science,available
Windows Server 2012 Unleashed,Rand Morimoto,Computer Science,2012,Topics: computer science,computer science,available
Probability models for computer science,Sheldon M. Ross,Computer Science,2001,Topics: computer science,computer science,available
Innovations in Computer Science and Engineering,H. S. Saini; Rishi Sayal; A. Govardhan,Computer Science,2016,Topics: computer science,computer science,unavailable
Requirements Engineering,Axel van Lamsweerde,Computer Science,2011,Topics: computer science,computer science,available
Understanding your users,Catherine Courage,Computer Science,2005,Topics: computer science,computer science,available
Nonlinear physics with Maple for scientists and engineers,Richard H. Enns; George McGuire,Computer Science,1997,Topics: computer science,computer science,available
Data Clustering,Charu C. Aggarwal; Chandan K. Reddy,Computer Science,2013,Topics: computer science,computer science,available
Ada,Narain Gehani,Computer Science,1984,Topics: computer science,computer science,available
Interactive Collaborative Robotics,Andrey Ronzhin; Gerhard Rigoll; Roman Meshcheryakov,Computer Science,2016,Topics: computer science,computer science,unavailable
Google hacking for penetration testers,Johnny Long; Bill Gardner; Justin Brown,Computer Science,2004,Topics: computer science,computer science,available
Effective awk Programming,Arnold Robbins,Computer Science,1997,Topics: computer science,computer science,available
Thinking between the lines,Gary C. Borchardt,Computer Science,1994,Topics: computer science,computer science,available
The Social Life of Information,John Seely Brown; Paul Duguid,Computer Science,2000,Topics: computer science,computer science,unavailable
Statistical Atlases and Computational Models of the Heart. Imaging and Modelling Challenges,Oscar Camara,Computer Science,2012,Topics: computer science,computer science,unavailable
Modern differential geometry of curves and surfaces with Mathematica,Alfred Gray; Elsa Abbena; Simon Salamon,Computer Science,1998,Topics: computer science,computer science,unavailable
Haskell,Simon Thompson,Computer Science,1996,Topics: computer science,computer science,unavailable
Computational statistics handbook with MATLAB,Wendy L. Martinez; Angel R. Martinez,Computer Science,2001,Topics: computer science,computer science,unavailable
Object models,Peter Coad; David North; Mark Mayfield,Computer Science,1995,Topics: computer science,computer science,available
Essentials of Business Processes and Information Systems,Simha Magal; Jeffrey Word,Computer Science,2008,Topics: computer science,computer science,available
The Closed World,Paul N. Edwards,Computer Science,1996,Topics: computer science,computer science,available
Handbook of data structures and applications,Dinesh P. Mehta; Sartaj Sahni,Computer Science,2004,Topics: computer science,computer science,available
Essential Statistics for the Behavioral Sciences,Gregory J. Privitera,Computer Science,2015,Topics: computer science,computer science,available
SystemVerilog for Verification,Chris Spear,Computer Science,2006,Topics: computer science,computer science,available
Experimentation in software engineering,Claes Wohlin; Per Runeson; Martin Höst,Computer Science,1999,Topics: computer science,computer science,available
Understanding virtual reality,William R. Sherman; Alan B. Craig,Computer Science,2002,Topics: computer science,computer science,available
From Barbie to Mortal Kombat,Justine Cassell; Henry Jenkins,Computer Science,2000,Topics: computer science,computer science,available
Understanding Computer Science for Advanced Level,Ray Bradley,Computer Science,1990,Topics: computer science,computer science,available
Innovations in Bio-Inspired Computing and Applications,Ajith Abraham; Abdelkrim Haqiq; Azah Kamilah Muda,Computer Science,2013,Topics: computer science,computer science,available
Foundations of Data Science,Avrim Blum; John Hopcroft; Ravindran Kannan,Computer Science,2020,Topics: computer science,computer science,available
Digital Economy. Emerging Technologies and Business Innovation,Rim Jallouli; Mohamed Anis Bach Tobji; Deny Bélisle,Computer Science,2017,Topics: computer science,computer science,available
Beginning Java objects,Jacquie Barker,Computer Science,2000,Topics: computer science,computer science,unavailable
A Brief History of the Future,John Naughton,Computer Science,1999,Topics: computer science,computer science,available
Head first PHP & MySQL,Lynn Beighley,Computer Science,2008,Topics: computer science,computer science,unavailable
Introduction to C++ for Financial Engineers,Daniel J. Duffy,Computer Science,2006,Topics: computer science,computer science,unavailable
F# for Scientists,Jon D. Harrop,Computer Science,2008,Topics: computer science,computer science,available
Agents and Artificial Intelligence,Joaquim Filipe,Computer Science,2010,Topics: computer science,computer science,available
The complete reference star schema,Christopher Adamson,Computer Science,2010,Topics: computer science,computer science,unavailable
Debugging Teams,Brian W. Fitzpatrick; Ben Collins-Sussman,Computer Science,2015,Topics: computer science,computer science,available
Computers as components,Wayne Hendrix Wolf,Computer Science,2008,Topics: computer science,computer science,available
The unified modeling language reference manual,James Rumbaugh,Computer Science,1999,Topics: computer science,computer science,available
Building a Scalable Data Warehouse with Data Vault 2. 0,Dan Linstedt; Michael Olschimke,Computer Science,2015,Topics: computer science,computer science,available
Agents and Data Mining Interaction,Longbing Cao,Computer Science,2010,Topics: computer science,computer science,available
Bio-inspired artificial intelligence,Dario Floreano,Computer Science,2008,Topics: computer science,computer science,unavailable
Clinical Image-Based Procedures. Translational Research in Medical Imaging,Raj Shekhar; Stefan Wesarg; Miguel Ángel González Ballester,Computer Science,2014,Topics: computer science,computer science,unavailable
Turing's cathedral,George Dyson,Computer Science,2012,Topics: computer science,computer science,available
Using UML,Perdita Stevens,Computer Science,2000,Topics: computer science,computer science,unavailable
Instructor's resource guide to accompany discrete mathematics and its applications,Kenneth H. Rosen,Computer Science,2007,Topics: computer science,computer science,available
CEH v10 Certified Ethical Hacker Study Guide,Ric Messier,Computer Science,2019,Topics: computer science,computer science,unavailable
Ruby in a nutshell,Yukihiro Matsumoto; Eric Jacoboni,Computer Science,2001,Topics: computer science,computer science,unavailable
Understanding the Digital World,Brian W. Kernighan,Computer Science,2017,"What You Need to Know about Computers, the Internet, Privacy, and Security",computer science,unavailable
Communication sciences and disorders,Ronald B. Gillam; Thomas P. Marquardt; Frederick N. Martin,Computer Science,2000,Topics: computer science,computer science,available
Human.4,Mike A. Lancaster,Computer Science,2011,Topics: computer science,computer science,available
Elements Of Quantum Computation And Quantum Communication,Anirban Pathak,Computer Science,2013,Topics: computer science,computer science,available
Head first object-oriented analysis and design,Brett McLaughlin,Computer Science,2006,Topics: computer science,computer science,available
Combinatorial Optimization,Bernhard Korte; Jens Vygen,Computer Science,2005,Topics: computer science,computer science,unavailable
Cloud enterprise architecture,Pethuru Raj,Computer Science,2012,Topics: computer science,computer science,available
Cowboy Bebop,Yutaka Nanten; Hajime Yadate,Computer Science,2002,Topics: computer science,computer science,available
Proceedings of Ciit,V. Sivaraj,Computer Science,2012,Topics: computer science,computer science,unavailable
Graph theory,Geir Agnarsson; Raymond Greenlaw,Computer Science,2006,Topics: computer science,computer science,available
The garbage collection handbook,"Jones, Richard",Computer Science,2012,Topics: computer science,computer science,available
Analogia,George Dyson,Computer Science,2020,Topics: computer science,computer science,unavailable
The Kimball Group Reader,Ralph  Kimball,Computer Science,2010,Topics: computer science,computer science,available
Methods in Algorithmic Analysis,Vladimir A. Dobrushkin,Computer Science,2008,Topics: computer science,computer science,available
Introduction to computer science,Paul W. Murrill,Computer Science,1973,Topics: computer science,computer science,available
The student's guide to VHDL,Peter J. Ashenden,Computer Science,1998,Topics: computer science,computer science,unavailable
Discrete mathematics,Douglas E. Ensley; J. Winston Crawley,Computer Science,2005,Topics: computer science,computer science,available
Discrete mathematics for computer scientists,J. K. Truss,Computer Science,1991,Topics: computer science,computer science,unavailable
Discrete mathematics,John A. Dossey; Albert D. Otto; Lawrence E. Spence,Computer Science,1996,Topics: computer science,computer science,available
Foundations of genetic programming,William B. Langdon; Riccardo Poli,Computer Science,2002,Topics: computer science,computer science,unavailable
Windows PowerShell,Lee Holmes,Computer Science,2008,Pocket Reference,computer science,available
Patterns of software,Richard P. Gabriel,Computer Science,1996,Topics: computer science,computer science,available
Bioinformatics,Andreas D. Baxevanis; B. F. Francis Ouellette,Computer Science,2001,Topics: computer science,computer science,available
Logical Foundations of Computer Science,Sergei Artemov,Computer Science,2007,Topics: computer science,computer science,available
Digital Forensics and Cyber Crime,Pavel Gladyshev,Computer Science,2012,Topics: computer science,computer science,available
Serious Games Development and Applications,Minhua Ma,Computer Science,2011,Topics: computer science,computer science,unavailable
"Analysis of Images, Social Networks and Texts",Wil M. P. van der Aalst; Vladimir Batagelj; Goran Glavaš,Computer Science,2015,Topics: computer science,computer science,available
Total recall,C. Gordon Bell,Computer Science,2009,how the E-memory revolution will change everything,computer science,available
Designing object-oriented C++ applications using the Booch method,Robert C. Martin,Computer Science,1995,Topics: computer science,computer science,unavailable
The UX Book,H. Rex Hartson,Computer Science,2012,Topics: computer science,computer science,available
Topics in stereochemistry,Norman L. Allinger; Ernest L. Eliel,Computer Science,1968,Topics: computer science,computer science,available
Harnessing green IT,San Murugesan; G. R. Gangadharan,Computer Science,2012,Topics: computer science,computer science,available
Business Intelligence Guidebook,Rick Sherman,Computer Science,2014,Topics: computer science,computer science,available
Tailoring health messages,Matthew W. Kreuter; David W. Farrell; Laura K. Brennan,Computer Science,1999,Topics: computer science,computer science,available
The Beauty of Mathematics in Computer Science,Jun Wu,Computer Science,2018,Topics: computer science,computer science,unavailable
Building Energy Simulation,Vishal Garg; Jyotirmay Mathur; Surekha Tetali,Computer Science,2017,Topics: computer science,computer science,unavailable
Sport Industry Research and Analysis,David A. Tobar; Jacquelyn Cuneen,Computer Science,2014,Topics: computer science,computer science,available
"Sets, Logic and Maths for Computing",David Makinson,Computer Science,2008,Topics: computer science,computer science,unavailable
Computer architecture,John L. Hennessy,Computer Science,2012,Topics: computer science,computer science,unavailable
BTEC First ICT practitioners curriculum support pack,Sharon Yull,Computer Science,2007,Topics: computer science,computer science,unavailable
Unlocking the clubhouse,Jane Margolis; Allan Fisher,Computer Science,2001,Topics: computer science,computer science,available
Cloud Computing and Services Science,Víctor Méndez Muñoz; Donald Ferguson; Markus Helfert,Computer Science,2016,Topics: computer science,computer science,unavailable
Crime and Intelligence Analysis,Glenn Grana; James Windell,Computer Science,2016,Topics: computer science,computer science,available
Tensor Calculus,U. C. De; Absos Ali Shaikh,Computer Science,2004,Topics: computer science,computer science,available
sed & awk,Arnold Robbins,Computer Science,2000,Pocket Reference,computer science,available
Edexcel GCSE Computer Science,Steve Cushing,Computer Science,2014,Topics: computer science,computer science,available
5G NR,Erik Dahlman; Stefan Parkvall; Johan Skold,Computer Science,2018,Topics: computer science,computer science,available
Algorithms for Computational Biology,Adrian-Horia Dediu; Carlos Martín-Vide; Bianca Truthe,Computer Science,2014,Topics: computer science,computer science,available
Handbook of Theoretical Computer Science,J. Van Leeuwen,Computer Science,1990,Topics: computer science,computer science,available
Introduction to Computing Systems,Yale N. Patt; Sanjay J. Patel,Computer Science,2003,Topics: computer science,computer science,available
Introduction to computer science,Douglas W. Nance; Thomas L. Naps,Computer Science,1989,Topics: computer science,computer science,available
Human Language Technology. Challenges for Computer Science and Linguistics,Zygmunt Vetulani,Computer Science,2011,Topics: computer science,computer science,available
Python Programming Fundamentals,Kent D. Lee,Computer Science,2011,Topics: computer science,computer science,unavailable
Imitation of Life,Nancy Forbes,Computer Science,2004,Topics: computer science,computer science,available
Multi-disciplinary Trends in Artificial Intelligence,Chattrakul Sombattheera,Computer Science,2011,Topics: computer science,computer science,available
e-Business,Paul Beynon-Davies,Computer Science,2004,Topics: computer science,computer science,available
Category Theory for the Sciences,David I. Spivak,Computer Science,2014,Topics: computer science,computer science,available
Research methods in human-computer interaction,Jonathan Lazar,Computer Science,2010,Topics: computer science,computer science,available
Object-Oriented Programming Using C++,Ira Pohl,Computer Science,1996,Topics: computer science,computer science,unavailable
Technical drawing,David L. Goetsch; David E. Goetsch; John Nelson,Computer Science,1989,Topics: computer science,computer science,unavailable
The Internet for scientists and engineers,Brian J. Thomas,Computer Science,1995,Topics: computer science,computer science,available
The shape of actions,H. M. Collins; Harry Collins; Martin Kusch,Computer Science,1998,Topics: computer science,computer science,unavailable
Electronics for Guitarists,Denton J. Dailey,Computer Science,2011,Topics: computer science,computer science,unavailable
Interdisciplinary Applications of Kinematics,Andrés Kecskeméthy,Computer Science,2011,Topics: computer science,computer science,available
Methods of IT project management,Jeffrey L. Brewer,Computer Science,2010,Topics: computer science,computer science,available
3D User Interfaces,Doug A. Bowman; Ernst Kruijff; Joseph J. LaViola,Computer Science,2004,Topics: computer science,computer science,available
"Turtles, termites, and traffic jams",Mitchel Resnick,Computer Science,1994,Topics: computer science,computer science,available
Optimal design of experiments,Peter Goos,Computer Science,2011,Topics: computer science,computer science,unavailable
Processing,Ira Greenberg,Computer Science,2008,Topics: computer science,computer science,unavailable
Discrete Math with Proof,Eric Gossett,Computer Science,2002,Topics: computer science,computer science,available
Mazes for programmers,Jamis Buck,Computer Science,2015,Topics: computer science,computer science,available
Multilingual natural language processing,Daniel M. Bikel,Computer Science,2012,Topics: computer science,computer science,available
Trends in Functional Programming,Jurriaan Hage; Jay McCarthy,Computer Science,2013,Topics: computer science,computer science,available
Biological reaction engineering,Irving J. Dunn; Elmar Heinzle; John Ingham,Computer Science,1992,Topics: computer science,computer science,available
Webster's new world computer dictionary,Bryan Pfaffenberger,Computer Science,1997,Topics: computer science,computer science,unavailable
Information security fundamentals,Thomas R. Peltier,Computer Science,2004,Topics: computer science,computer science,available
Grid computing,Lizhe Wang; Wei Jie,Computer Science,2009,Topics: computer science,computer science,unavailable
Web-weaving,Paula Boyle; Peter Lloyd,Computer Science,1998,Topics: computer science,computer science,available
Map projection transformation,Qihe H. Yang; Qihe Yang; John Snyder,Computer Science,1999,Topics: computer science,computer science,available
Virtual decisions,Steve Cohen; Kent E. Portney; Carolyn Thorsen,Computer Science,2005,Topics: computer science,computer science,available
Return on engagement,Tim Frick,Computer Science,2010,Topics: computer science,computer science,available
Discrete mathematics,Gary Chartrand,Computer Science,2011,Topics: computer science,computer science,available
Future Information Engineering and Manufacturing Science,Duanling Li; Dawei Zheng,Computer Science,2015,Topics: computer science,computer science,unavailable
Fundamentals of computer science,Terry M. Walker,Computer Science,1975,Topics: computer science,computer science,available
Computer science,Paul A. Nagin; John Impagliazzo,Computer Science,1995,Topics: computer science,computer science,available
Hacking Connected Cars,Alissa Knight,Computer Science,2019,Topics: computer science,computer science,unavailable
Applied Informatics,Hector Florez; Cesar Diaz; Jaime Chavarriaga,Computer Science,2018,Topics: computer science,computer science,available
Telematics and Computing,Miguel Felix Mata-Rivera; Roberto Zagal-Flores; Cristian Barría-Huidobro,Computer Science,2018,Topics: computer science,computer science,available
Introduction to artificial neural systems,Jacek M. Zurada,Computer Science,1992,Topics: computer science,computer science,available
Games As Texts,Alayna Cole; Dakoda Barker,Computer Science,2020,Topics: computer science,computer science,available
Future X Network,Marcus K. Weldon; Bell Labs Staff,Computer Science,2015,Topics: computer science,computer science,available
Database modeling & design,Toby J. Teorey; Sam S. Lightstone; Tom Nadeau,Computer Science,1990,Topics: computer science,computer science,unavailable
Discovering statistics using R,Andy P. Field,Computer Science,2012,Topics: computer science,computer science,available
SAS and R,Ken Kleinman; Nick Horton,Computer Science,2009,Topics: computer science,computer science,available
Internet and Distributed Computing Systems,Wenfeng Li; Shawkat Ali; Gabriel Lodewijks,Computer Science,2013,Topics: computer science,computer science,available
Network Tutorial,Steve Steinke,Computer Science,2000,Topics: computer science,computer science,available
Corporate fraud,Michael J. Comer,Computer Science,1977,Topics: computer science,computer science,available
Software Process Improvement and Capability Determination,Rory O'Connor; Terry Rout; Fergal McCaffery,Computer Science,2011,Topics: computer science,computer science,available
Theory and Practice of Computation : Proceedings of the Workshop on Computation,Shin-ya Nishizaki; Masayuki Numao; Jaime Caro,Computer Science,2019,Topics: computer science,computer science,available
Spoken English on Computer,Geoffrey N. Leech; Jenny Thomas,Computer Science,1995,Topics: computer science,computer science,available
An introduction to functional programming through Lambda calculus,Greg Michaelson,Computer Science,2011,Topics: computer science,computer science,available
The Elements of Content Strategy,Erin Kissane,Computer Science,2010,Topics: computer science,computer science,available
Scripting with objects,Avinash C. Kak,Computer Science,2008,Topics: computer science,computer science,unavailable
Educational media and technology yearbook,Michael Orey; V. J. McClendon; Robert Maribe Branch,Computer Science,2007,Topics: computer science,computer science,available
Robotics,Bruno Siciliano,Computer Science,2009,Topics: computer science,computer science,available
To be a machine,Mark O'Connell,Computer Science,2017,Topics: computer science,computer science,available
Graph Databases,Ian Robinson; Jim Webber; Emil Eifrem,Computer Science,2013,Topics: computer science,computer science,available
Artificial Intelligence,Saswat Sarangi; Pankaj Sharma,Computer Science,2010,Topics: computer science,computer science,available
Communication networking,Anurag Kumar,Computer Science,2004,Topics: computer science,computer science,unavailable
MultiMedia Modeling,Laurent Amsaleg; Gylfi Þór Guðmundsson; Cathal Gurrin,Computer Science,2013,Topics: computer science,computer science,available
eBay the Smart Way,Joseph T. Sinclair,Computer Science,1999,Topics: computer science,computer science,available
Engineering haptic devices,Thorsten A. Kern,Computer Science,2009,Topics: computer science,computer science,available
Mediating the human body,Leopoldina Fortunati; James Everett Katz; Raimonda Riccini,Computer Science,2003,Topics: computer science,computer science,unavailable
Data structures and algorithms in Java,Adam Drozdek,Computer Science,2001,Topics: computer science,computer science,available
How smart machines think,Sean Gerrish,Computer Science,2018,Topics: computer science,computer science,available
The Usborne Internet-linked science encyclopedia,Kirsteen Rogers,Computer Science,2001,Topics: computer science,computer science,available
Applied cryptography and network security,Jianying Zhou; Moti Yung; Yongfei Han,Computer Science,2003,Topics: computer science,computer science,available
2000 Solved Problems in Discrete Mathematics,Seymour Lipschutz,Computer Science,1991,Topics: computer science,computer science,available
Programming Scala,Dean Wampler; Alex Payne,Computer Science,2009,Topics: computer science,computer science,unavailable
Watermarking systems engineering,Mauro Barni,Computer Science,2004,Topics: computer science,computer science,available
Computing with Java,Art Gittleman,Computer Science,1998,Topics: computer science,computer science,unavailable
Computer Science,George Rouse; Jason Pitt; Sean O'Byrne,Computer Science,2015,Topics: computer science,computer science,available
CCTV surveillance,Herman Kruegle,Computer Science,1995,Topics: computer science,computer science,available
Context-Aware Systems and Applications,Phan Cong Vinh,Computer Science,2013,Topics: computer science,computer science,available
Law of electronic commercial transactions,Faye Fangfei Wang,Computer Science,2010,Topics: computer science,computer science,available
Aspen Plus,Kamal I. M. Al-Malah,Computer Science,2016,Topics: computer science,computer science,available
Cognitive and Computational Aspects of Face Recognition,Tim Valentine,Computer Science,1995,Topics: computer science,computer science,available
Cybercrime Investigations,John Bandler; Antonia Merzon,Computer Science,2020,Topics: computer science,computer science,available
"Signal and Information Processing, Networking and Computers",Songlin Sun; Na Chen; Tao Tian,Computer Science,2017,Topics: computer science,computer science,available
Software Defined Networking,Patricia A. Morreale; James M. Anderson,Computer Science,2014,Topics: computer science,computer science,available
ARM Microprocessor Systems,Muhammad Tahir; Kashif Javed,Computer Science,2017,Topics: computer science,computer science,available
Software Specification Methods,Henri Habrias,Computer Science,2000,Topics: computer science,computer science,available
Real-World Web Hacking,Peter Yaworski,Computer Science,2019,Topics: computer science,computer science,available
Java Structures,Duane A. Bailey,Computer Science,1999,Data Structures in Java for the Principled Programmer,computer science,available
Introduction to Computing,David Evans,Computer Science,2011,"Explorations in Language, Logic, and Machines",computer science,unavailable
The New Social Learning,Tony Bingham; Marcia L. Conner,Computer Science,2010,Topics: computer science,computer science,available
Tools for structured and object-oriented design,Marilyn Bohl; Maria Rynn,Computer Science,2002,Topics: computer science,computer science,available
Data structures and algorithms using Python,Rance D. Necaise,Computer Science,2011,Topics: computer science,computer science,unavailable
Theories of the Mobile Internet,Andrew Herman; Jan Hadlaw; Thom Swiss,Computer Science,2014,Topics: computer science,computer science,unavailable
Discrete mathematics,Amanda Chetwynd; Peter Diggle,Computer Science,1995,Topics: computer science,computer science,unavailable
Logic and discrete mathematics,Winfried K. Grassmann; Winfried Karl Grassmann; Jean-Paul Tremblay,Computer Science,1995,Topics: computer science,computer science,available
Discrete Maths for Computing,Rod Haggarty,Computer Science,2002,Topics: computer science,computer science,available
MACHINE VISION,WESLEY E. SNYDER; Wesley E. Snyder; Hairong Qi,Computer Science,2004,Topics: computer science,computer science,available
Artificial neural networks in pattern recognition,Friedhelm Schwenker; Simone Marinai,Computer Science,2006,Topics: computer science,computer science,available
Computers and Games,H. Jaap van den Herik; Yngvi Björnsson; Nathan S. Netanyahu,Computer Science,2003,Topics: computer science,computer science,available
Go! with,Shelley Gaskin,Computer Science,2007,Topics: computer science,computer science,available
Letting go of the words,Janice Redish,Computer Science,2012,Topics: computer science,computer science,available
PostgreSQL,Regina Obe,Computer Science,2012,Topics: computer science,computer science,available
Beginning Perl for bioinformatics,James D. Tisdall,Computer Science,2001,Topics: computer science,computer science,available
Ecological Informatics,Friedrich Recknagel,Computer Science,2003,Topics: computer science,computer science,unavailable
"Graphs, Networks and Algorithms",Dieter Jungnickel,Computer Science,2006,Topics: computer science,computer science,available
Machine Learning and Data Mining in Pattern Recognition,Petra Perner,Computer Science,2011,Topics: computer science,computer science,available
Intelligent Systems and Applications,Yaxin Bi; Rahul Bhatia; Supriya Kapoor,Computer Science,2016,Topics: computer science,computer science,unavailable
Natural Language Processing for Social Media,Atefeh Farzindar; Diana Inkpen,Computer Science,2015,Topics: computer science,computer science,available
"Dependency Injection Principles, Practices, and Patterns",Mark Seemann; Steven van Deursen,Computer Science,2019,Topics: computer science,computer science,available
Handbook of algorithms and data structures,G. H. Gonnet,Computer Science,1984,in Pascal and C,computer science,unavailable
Gps,Guochang Xu,Computer Science,2003,Topics: computer science,computer science,available
An introduction to object-oriented analysis,David Brown,Computer Science,1997,Topics: computer science,computer science,available
Quantifying the user experience,Jeff Sauro,Computer Science,2012,Topics: computer science,computer science,available
Spiking neuron models,Wulfram Gerstner; Werner M. Kistler,Computer Science,2002,Topics: computer science,computer science,available
The Ruby Way,Hal Fulton,Computer Science,2001,Topics: computer science,computer science,available
Generative design,Hartmut Bohnacker,Computer Science,2012,Topics: computer science,computer science,unavailable
Netnography Unlimited,Robert V. Kozinets; Rossella Gambetti,Computer Science,2020,Topics: computer science,computer science,available
The Wikipedia Revolution,Andrew Lih,Computer Science,2009,how a bunch of nobodies created the world's greatest encyclopedia,computer science,unavailable
Object-Oriented Analysis and Design with the Unified Process,John W. Satzinger,Computer Science,2004,Topics: computer science,computer science,available
Inferred functions of performance and learning,Siegfried Engelmann; Donald Steely,Computer Science,2003,Topics: computer science,computer science,available
Data structures using Cand C[plus plus],Yedidyah Langsam,Computer Science,1996,Topics: computer science,computer science,available
Annual Review of Scalable Computing,Yuen Chung Kwong,Computer Science,2000,Topics: computer science,computer science,available
Formal Methods in Computer Science,Jiacun Wang,Computer Science,2019,Topics: computer science,computer science,available
Theoretical Computer Science,Lian Li; Pinyan Lu; Kun He,Computer Science,2017,Topics: computer science,computer science,available
A/AS Level Computer Science for WJEC/Eduqas Student Book,Mark Thomas; Alistair Surrall; Adam Hamflett,Computer Science,2017,Topics: computer science,computer science,available
Connecting with computer science,Greg Anderson,Computer Science,2010,Topics: computer science,computer science,unavailable
Smart Health,Hsinchun Chen; Daniel Zeng; Xiangbin Yan,Computer Science,2013,Topics: computer science,computer science,available
Wikipatterns,Stewart Mader,Computer Science,2007,[a practical guide to improving productivity and collaboration in your organization],computer science,unavailable
Proceedings of the 2012 International Conference on Information Technology and Software Engineering,Wei Lu,Computer Science,2012,Topics: computer science,computer science,unavailable
Essential Java for scientists and engineers,Brian D. Hahn; Katherine M. Malan,Computer Science,2002,Topics: computer science,computer science,unavailable
Learning Android,Marko Gargenta,Computer Science,2011,Topics: computer science,computer science,available
Python and algorithmic thinking for the complete beginner,Aristides S. Boures,Computer Science,2015,Topics: computer science,computer science,available
Object oriented programming in Java,"Gilbert, Stephen",Computer Science,1997,Topics: computer science,computer science,unavailable
Mastering Object-oriented Python,Steven F. Lott,Computer Science,2014,Topics: computer science,computer science,available
Natural Language Processing in Action,Hobson Lane; Hannes Hapke; Cole Howard,Computer Science,2019,Topics: computer science,computer science,available
Metaprogramming Ruby,Paolo Perrotta,Computer Science,2010,Topics: computer science,computer science,unavailable
Writing scientific software,Suely Oliveira; David E. Stewart,Computer Science,2006,Topics: computer science,computer science,available
Truth Machine,Paul Vigna,Computer Science,2018,Topics: computer science,computer science,available
Semantic structures,David L. Waltz,Computer Science,1989,Topics: computer science,computer science,available
Program development in Java,B. Liskov,Computer Science,2000,Topics: computer science,computer science,available
Fundamentals of information studies,"June Lester; Wallace C., Jr. Koehler",Computer Science,2003,Topics: computer science,computer science,available
Splintering Urbanism,Stephen Graham; Simon Marvin,Computer Science,2001,Topics: computer science,computer science,available
MATLAB programming for engineers,Stephen J Chapman,Computer Science,1999,Topics: computer science,computer science,available
Edge Computing,K. Anitha Kumari; G. Sudha Sadasivam; D. Dharani,Computer Science,2021,Topics: computer science,computer science,available
East of the Sun and West of the Moon,John Ringo,Computer Science,2006,Topics: computer science,computer science,unavailable
Chemical Process Design and Simulation,Juma Haydary,Computer Science,2018,Topics: computer science,computer science,available
Job scheduling strategies for parallel processing,Dror Feitelson; Larry Rudolph; Uwe Schwiegelshohn,Computer Science,2003,Topics: computer science,computer science,available
Computer science handbook,Allen B. Tucker,Computer Science,2004,Topics: computer science,computer science,available
Bayesian Analysis with Python,Osvaldo Martin,Computer Science,2016,Topics: computer science,computer science,available
Virtual Music,David Cope,Computer Science,2001,Topics: computer science,computer science,available
Windows 10 Troubleshooting,Mike Halsey,Computer Science,2016,Topics: computer science,computer science,available
The data model resource book,Len Silverston,Computer Science,1997,Topics: computer science,computer science,available
Cyberfeminism and artificial life,Sarah Kember,Computer Science,2003,Topics: computer science,computer science,available
Foundations of discrete mathematics,K. D. Joshi,Computer Science,1989,Topics: computer science,computer science,available
Model checking,Edmund M. Clarke Jr.; Orna Grumberg; Doron A. Peled,Computer Science,1999,Topics: computer science,computer science,available
A Brief History of Computing,Gerard O'Regan,Computer Science,2012,Topics: computer science,computer science,available
Statistical Methods for Recommender Systems,Deepak K. Agarwal; Bee-Chung Chen,Computer Science,2015,Topics: computer science,computer science,available
Communicating embedded systems,Claude Jard,Computer Science,2009,Topics: computer science,computer science,unavailable
The dreams of reason,Heinz R. Pagels,Computer Science,1988,Topics: computer science,computer science,available
Using computers,Raymond S. Nickerson,Computer Science,1986,Topics: computer science,computer science,unavailable
Python 3 for absolute beginners,Tim Hall,Computer Science,2009,Topics: computer science,computer science,available
Bioinformatics basics,Lukas K. Buehler; Hooman H. Rashidi,Computer Science,2004,Topics: computer science,computer science,unavailable
Computational Collective Intelligence,Ngọc Thanh Nguyễn; Richard Chbeir; Ernesto Exposito,Computer Science,2015,Topics: computer science,computer science,available
Constraint networks,Christophe Lecoutre,Computer Science,2009,techniques and algorithms,computer science,unavailable
Artificial Intelligence,Lavanya Sharma,Computer Science,2021,Topics: computer science,computer science,available
Java 8 in Action,Raoul-Gabriel Urma,Computer Science,2014,Topics: computer science,computer science,available
Astronomie mit dem Personal Computer,Oliver Montenbruck; Thomas Pfleger,Computer Science,1991,Topics: computer science,computer science,available
